course_name,field,duration_years,description,skill_tags,rated
Diploma in Journalism,Medicine,2,This course focuses on developing skills in medicine and practical training in journalism.,"project management, leadership",False
Diploma in Human Resource Management,Psychology,4,This course focuses on developing skills in psychology and practical training in management.,"networking, cybersecurity",True
Diploma in Film Production,Media,3,This course focuses on developing skills in media and practical training in production.,"programming, algorithms, software development",True
Diploma in Film Production,Arts,2,This course focuses on developing skills in arts and practical training in production.,"financial analysis, accounting",True
Bachelor of Marketing,Hospitality,5,This course focuses on developing skills in hospitality and practical training in marketing.,"financial analysis, accounting",False
Bachelor of Human Resource Management,Hospitality,6,This course focuses on developing skills in hospitality and practical training in management.,"project management, leadership",True
Certificate in Software Development,Law,5,This course focuses on developing skills in law and practical training in development.,"project management, leadership",False
Certificate in Human Resource Management,Medicine,5,This course focuses on developing skills in medicine and practical training in management.,"networking, cybersecurity",False
Diploma in Fine Arts,Engineering,3,This course focuses on developing skills in engineering and practical training in arts.,"project management, leadership",True
Bachelor of Marketing,Education,4,This course focuses on developing skills in education and practical training in marketing.,"networking, cybersecurity",True
Certificate in Telecommunications,Psychology,1,This course focuses on developing skills in psychology and practical training in telecommunications.,"creative design, illustration",False
Certificate in Telecommunications,Computer Science,4,This course focuses on developing skills in computer science and practical training in telecommunications.,"data analysis, statistics",False
Diploma in Project Management,Design,6,This course focuses on developing skills in design and practical training in management.,"communication, public speaking",True
Diploma in Cybersecurity,Business,2,This course focuses on developing skills in business and practical training in cybersecurity.,"programming, algorithms, software development",True
Bachelor of Software Development,Medicine,4,This course focuses on developing skills in medicine and practical training in development.,"critical thinking, research",False
Bachelor of Software Development,Computer Science,6,This course focuses on developing skills in computer science and practical training in development.,"financial analysis, accounting",False
Certificate in Civil Engineering,Design,4,This course focuses on developing skills in design and practical training in engineering.,"data analysis, statistics",True
Diploma in Journalism,Agriculture,6,This course focuses on developing skills in agriculture and practical training in journalism.,"critical thinking, research",False
Bachelor of Animal Health,Hospitality,5,This course focuses on developing skills in hospitality and practical training in health.,"communication, public speaking",False
Bachelor of Culinary Arts,Arts,2,This course focuses on developing skills in arts and practical training in arts.,"legal analysis, case interpretation",False
Bachelor of Data Science,Media,4,This course focuses on developing skills in media and practical training in science.,"project management, leadership",False
Certificate in Project Management,Design,5,This course focuses on developing skills in design and practical training in management.,"project management, leadership",False
Diploma in Graphic Design,Media,1,This course focuses on developing skills in media and practical training in design.,"creative design, illustration",False
Bachelor of Computer Engineering,Law,3,This course focuses on developing skills in law and practical training in engineering.,"clinical practice, patient care",True
Bachelor of Journalism,Design,4,This course focuses on developing skills in design and practical training in journalism.,"programming, algorithms, software development",True
Diploma in Marketing,Medicine,2,This course focuses on developing skills in medicine and practical training in marketing.,"networking, cybersecurity",False
Certificate in Telecommunications,Law,2,This course focuses on developing skills in law and practical training in telecommunications.,"financial analysis, accounting",False
Certificate in Culinary Arts,Hospitality,5,This course focuses on developing skills in hospitality and practical training in arts.,"clinical practice, patient care",False
Certificate in Marketing,Hospitality,1,This course focuses on developing skills in hospitality and practical training in marketing.,"financial analysis, accounting",False
Bachelor of Cybersecurity,Agriculture,2,This course focuses on developing skills in agriculture and practical training in cybersecurity.,"networking, cybersecurity",True
Certificate in Culinary Arts,Law,1,This course focuses on developing skills in law and practical training in arts.,"data analysis, statistics",True
Diploma in Computer Engineering,Law,3,This course focuses on developing skills in law and practical training in engineering.,"clinical practice, patient care",True
Diploma in Software Development,Psychology,6,This course focuses on developing skills in psychology and practical training in development.,"creative design, illustration",False
Bachelor of Marketing,Hospitality,3,This course focuses on developing skills in hospitality and practical training in marketing.,"data analysis, statistics",True
Diploma in Animal Health,Business,4,This course focuses on developing skills in business and practical training in health.,"project management, leadership",True
Certificate in Human Resource Management,Medicine,4,This course focuses on developing skills in medicine and practical training in management.,"communication, public speaking",True
Certificate in Civil Engineering,Psychology,1,This course focuses on developing skills in psychology and practical training in engineering.,"legal analysis, case interpretation",True
Bachelor of Accounting,Computer Science,2,This course focuses on developing skills in computer science and practical training in accounting.,"critical thinking, research",True
Certificate in Journalism,Agriculture,1,This course focuses on developing skills in agriculture and practical training in journalism.,"creative design, illustration",True
Bachelor of Marketing,Medicine,1,This course focuses on developing skills in medicine and practical training in marketing.,"networking, cybersecurity",True
Bachelor of Accounting,Agriculture,6,This course focuses on developing skills in agriculture and practical training in accounting.,"networking, cybersecurity",False
Diploma in Cybersecurity,Education,6,This course focuses on developing skills in education and practical training in cybersecurity.,"financial analysis, accounting",False
Bachelor of Nursing,Design,3,This course focuses on developing skills in design and practical training in nursing.,"financial analysis, accounting",True
Diploma in Marketing,Business,3,This course focuses on developing skills in business and practical training in marketing.,"creative design, illustration",False
Diploma in Business Administration,Law,4,This course focuses on developing skills in law and practical training in administration.,"data analysis, statistics",True
Certificate in Project Management,Business,4,This course focuses on developing skills in business and practical training in management.,"creative design, illustration",False
Certificate in Animal Health,Media,6,This course focuses on developing skills in media and practical training in health.,"communication, public speaking",True
Bachelor of Telecommunications,Law,6,This course focuses on developing skills in law and practical training in telecommunications.,"networking, cybersecurity",False
Bachelor of Civil Engineering,Law,6,This course focuses on developing skills in law and practical training in engineering.,"financial analysis, accounting",False
Bachelor of Telecommunications,Medicine,5,This course focuses on developing skills in medicine and practical training in telecommunications.,"programming, algorithms, software development",False
Diploma in Software Development,Medicine,1,This course focuses on developing skills in medicine and practical training in development.,"communication, public speaking",True
Bachelor of Computer Engineering,Media,4,This course focuses on developing skills in media and practical training in engineering.,"project management, leadership",True
Diploma in Animal Health,Medicine,5,This course focuses on developing skills in medicine and practical training in health.,"clinical practice, patient care",True
Bachelor of Fine Arts,Medicine,1,This course focuses on developing skills in medicine and practical training in arts.,"clinical practice, patient care",True
Bachelor of Psychology,Engineering,2,This course focuses on developing skills in engineering and practical training in psychology.,"project management, leadership",True
Certificate in Animal Health,Business,2,This course focuses on developing skills in business and practical training in health.,"networking, cybersecurity",False
Certificate in Agronomy,Psychology,2,This course focuses on developing skills in psychology and practical training in agronomy.,"clinical practice, patient care",False
Bachelor of Psychology,Media,5,This course focuses on developing skills in media and practical training in psychology.,"financial analysis, accounting",False
Bachelor of Computer Engineering,Computer Science,1,This course focuses on developing skills in computer science and practical training in engineering.,"clinical practice, patient care",True
Certificate in Accounting,Hospitality,3,This course focuses on developing skills in hospitality and practical training in accounting.,"legal analysis, case interpretation",False
Diploma in Marketing,Medicine,3,This course focuses on developing skills in medicine and practical training in marketing.,"networking, cybersecurity",False
Certificate in Business Administration,Hospitality,5,This course focuses on developing skills in hospitality and practical training in administration.,"creative design, illustration",True
Bachelor of Civil Engineering,Agriculture,5,This course focuses on developing skills in agriculture and practical training in engineering.,"critical thinking, research",False
Diploma in Culinary Arts,Media,3,This course focuses on developing skills in media and practical training in arts.,"networking, cybersecurity",True
Certificate in Human Resource Management,Medicine,1,This course focuses on developing skills in medicine and practical training in management.,"networking, cybersecurity",True
Diploma in Agronomy,Business,6,This course focuses on developing skills in business and practical training in agronomy.,"clinical practice, patient care",False
Bachelor of Project Management,Media,2,This course focuses on developing skills in media and practical training in management.,"critical thinking, research",False
Certificate in Cybersecurity,Engineering,1,This course focuses on developing skills in engineering and practical training in cybersecurity.,"legal analysis, case interpretation",False
Diploma in Computer Engineering,Psychology,3,This course focuses on developing skills in psychology and practical training in engineering.,"communication, public speaking",True
Diploma in Civil Engineering,Law,6,This course focuses on developing skills in law and practical training in engineering.,"communication, public speaking",True
Certificate in Telecommunications,Business,1,This course focuses on developing skills in business and practical training in telecommunications.,"communication, public speaking",True
Diploma in Film Production,Agriculture,5,This course focuses on developing skills in agriculture and practical training in production.,"financial analysis, accounting",False
Bachelor of Psychology,Computer Science,1,This course focuses on developing skills in computer science and practical training in psychology.,"creative design, illustration",False
Certificate in Agronomy,Engineering,6,This course focuses on developing skills in engineering and practical training in agronomy.,"clinical practice, patient care",True
Diploma in Human Resource Management,Medicine,5,This course focuses on developing skills in medicine and practical training in management.,"critical thinking, research",False
Bachelor of Computer Engineering,Hospitality,3,This course focuses on developing skills in hospitality and practical training in engineering.,"financial analysis, accounting",False
Bachelor of Data Science,Arts,5,This course focuses on developing skills in arts and practical training in science.,"financial analysis, accounting",False
Certificate in Marketing,Hospitality,1,This course focuses on developing skills in hospitality and practical training in marketing.,"creative design, illustration",False
Certificate in Software Development,Media,5,This course focuses on developing skills in media and practical training in development.,"networking, cybersecurity",False
Diploma in Data Science,Engineering,3,This course focuses on developing skills in engineering and practical training in science.,"clinical practice, patient care",False
Bachelor of Film Production,Engineering,4,This course focuses on developing skills in engineering and practical training in production.,"legal analysis, case interpretation",False
Diploma in Graphic Design,Hospitality,5,This course focuses on developing skills in hospitality and practical training in design.,"creative design, illustration",True
Bachelor of Nursing,Media,6,This course focuses on developing skills in media and practical training in nursing.,"critical thinking, research",True
Diploma in Psychology,Business,4,This course focuses on developing skills in business and practical training in psychology.,"programming, algorithms, software development",True
Bachelor of Animal Health,Agriculture,1,This course focuses on developing skills in agriculture and practical training in health.,"financial analysis, accounting",False
Diploma in Film Production,Engineering,1,This course focuses on developing skills in engineering and practical training in production.,"legal analysis, case interpretation",True
Certificate in Accounting,Psychology,3,This course focuses on developing skills in psychology and practical training in accounting.,"communication, public speaking",True
Diploma in Film Production,Computer Science,2,This course focuses on developing skills in computer science and practical training in production.,"communication, public speaking",False
Bachelor of Business Administration,Media,4,This course focuses on developing skills in media and practical training in administration.,"project management, leadership",True
Diploma in Telecommunications,Medicine,5,This course focuses on developing skills in medicine and practical training in telecommunications.,"communication, public speaking",True
Diploma in Nursing,Medicine,1,This course focuses on developing skills in medicine and practical training in nursing.,"creative design, illustration",False
Bachelor of Project Management,Law,3,This course focuses on developing skills in law and practical training in management.,"creative design, illustration",False
Bachelor of Agronomy,Psychology,6,This course focuses on developing skills in psychology and practical training in agronomy.,"communication, public speaking",False
Certificate in Software Development,Business,2,This course focuses on developing skills in business and practical training in development.,"data analysis, statistics",True
Bachelor of Telecommunications,Law,3,This course focuses on developing skills in law and practical training in telecommunications.,"networking, cybersecurity",True
Certificate in Marketing,Law,6,This course focuses on developing skills in law and practical training in marketing.,"clinical practice, patient care",True
Certificate in Data Science,Design,5,This course focuses on developing skills in design and practical training in science.,"clinical practice, patient care",True
Bachelor of Computer Engineering,Arts,2,This course focuses on developing skills in arts and practical training in engineering.,"project management, leadership",False
Diploma in Telecommunications,Hospitality,1,This course focuses on developing skills in hospitality and practical training in telecommunications.,"data analysis, statistics",False
Diploma in Fine Arts,Media,6,This course focuses on developing skills in media and practical training in arts.,"financial analysis, accounting",False
Diploma in Accounting,Computer Science,1,This course focuses on developing skills in computer science and practical training in accounting.,"financial analysis, accounting",True
Certificate in Psychology,Hospitality,6,This course focuses on developing skills in hospitality and practical training in psychology.,"creative design, illustration",True
Bachelor of Business Administration,Design,6,This course focuses on developing skills in design and practical training in administration.,"project management, leadership",True
Diploma in Animal Health,Arts,3,This course focuses on developing skills in arts and practical training in health.,"creative design, illustration",True
Bachelor of Telecommunications,Arts,4,This course focuses on developing skills in arts and practical training in telecommunications.,"networking, cybersecurity",False
Diploma in Business Administration,Hospitality,1,This course focuses on developing skills in hospitality and practical training in administration.,"critical thinking, research",False
Bachelor of Telecommunications,Law,2,This course focuses on developing skills in law and practical training in telecommunications.,"communication, public speaking",True
Bachelor of Animal Health,Psychology,3,This course focuses on developing skills in psychology and practical training in health.,"financial analysis, accounting",True
Certificate in Culinary Arts,Design,2,This course focuses on developing skills in design and practical training in arts.,"clinical practice, patient care",False
Certificate in Business Administration,Agriculture,2,This course focuses on developing skills in agriculture and practical training in administration.,"financial analysis, accounting",True
Bachelor of Graphic Design,Hospitality,1,This course focuses on developing skills in hospitality and practical training in design.,"networking, cybersecurity",False
Diploma in Accounting,Education,2,This course focuses on developing skills in education and practical training in accounting.,"programming, algorithms, software development",True
Certificate in Computer Engineering,Computer Science,5,This course focuses on developing skills in computer science and practical training in engineering.,"legal analysis, case interpretation",True
Certificate in Journalism,Psychology,5,This course focuses on developing skills in psychology and practical training in journalism.,"networking, cybersecurity",True
Certificate in Culinary Arts,Agriculture,6,This course focuses on developing skills in agriculture and practical training in arts.,"data analysis, statistics",False
Certificate in Human Resource Management,Hospitality,3,This course focuses on developing skills in hospitality and practical training in management.,"data analysis, statistics",False
Diploma in Telecommunications,Law,2,This course focuses on developing skills in law and practical training in telecommunications.,"networking, cybersecurity",False
Diploma in Data Science,Psychology,6,This course focuses on developing skills in psychology and practical training in science.,"clinical practice, patient care",True
Diploma in Business Administration,Law,1,This course focuses on developing skills in law and practical training in administration.,"programming, algorithms, software development",False
Diploma in Software Development,Design,5,This course focuses on developing skills in design and practical training in development.,"clinical practice, patient care",True
Certificate in Film Production,Engineering,5,This course focuses on developing skills in engineering and practical training in production.,"programming, algorithms, software development",False
Diploma in Telecommunications,Engineering,3,This course focuses on developing skills in engineering and practical training in telecommunications.,"programming, algorithms, software development",False
Bachelor of Culinary Arts,Computer Science,5,This course focuses on developing skills in computer science and practical training in arts.,"financial analysis, accounting",False
Bachelor of Agronomy,Business,1,This course focuses on developing skills in business and practical training in agronomy.,"programming, algorithms, software development",False
Bachelor of Project Management,Hospitality,6,This course focuses on developing skills in hospitality and practical training in management.,"communication, public speaking",False
Certificate in Graphic Design,Hospitality,1,This course focuses on developing skills in hospitality and practical training in design.,"legal analysis, case interpretation",True
Certificate in Psychology,Engineering,1,This course focuses on developing skills in engineering and practical training in psychology.,"legal analysis, case interpretation",False
Diploma in Data Science,Media,2,This course focuses on developing skills in media and practical training in science.,"data analysis, statistics",True
Certificate in Project Management,Engineering,4,This course focuses on developing skills in engineering and practical training in management.,"project management, leadership",True
Certificate in Agronomy,Agriculture,3,This course focuses on developing skills in agriculture and practical training in agronomy.,"networking, cybersecurity",True
Bachelor of Film Production,Design,6,This course focuses on developing skills in design and practical training in production.,"networking, cybersecurity",True
Bachelor of Business Administration,Psychology,4,This course focuses on developing skills in psychology and practical training in administration.,"legal analysis, case interpretation",False
Diploma in Telecommunications,Law,5,This course focuses on developing skills in law and practical training in telecommunications.,"networking, cybersecurity",True
Bachelor of Software Development,Law,2,This course focuses on developing skills in law and practical training in development.,"financial analysis, accounting",False
Bachelor of Marketing,Medicine,2,This course focuses on developing skills in medicine and practical training in marketing.,"creative design, illustration",True
Diploma in Nursing,Medicine,4,This course focuses on developing skills in medicine and practical training in nursing.,"networking, cybersecurity",False
Certificate in Data Science,Computer Science,4,This course focuses on developing skills in computer science and practical training in science.,"financial analysis, accounting",False
Bachelor of Nursing,Agriculture,5,This course focuses on developing skills in agriculture and practical training in nursing.,"programming, algorithms, software development",True
Bachelor of Psychology,Psychology,4,This course focuses on developing skills in psychology and practical training in psychology.,"creative design, illustration",False
Certificate in Film Production,Media,1,This course focuses on developing skills in media and practical training in production.,"data analysis, statistics",False
Diploma in Culinary Arts,Arts,5,This course focuses on developing skills in arts and practical training in arts.,"communication, public speaking",False
Diploma in Business Administration,Media,6,This course focuses on developing skills in media and practical training in administration.,"programming, algorithms, software development",False
Diploma in Journalism,Law,5,This course focuses on developing skills in law and practical training in journalism.,"programming, algorithms, software development",True
Diploma in Cybersecurity,Business,2,This course focuses on developing skills in business and practical training in cybersecurity.,"networking, cybersecurity",False
Certificate in Software Development,Engineering,1,This course focuses on developing skills in engineering and practical training in development.,"critical thinking, research",True
Certificate in Project Management,Computer Science,3,This course focuses on developing skills in computer science and practical training in management.,"communication, public speaking",True
Bachelor of Nursing,Business,2,This course focuses on developing skills in business and practical training in nursing.,"project management, leadership",False
Diploma in Data Science,Media,2,This course focuses on developing skills in media and practical training in science.,"networking, cybersecurity",False
Diploma in Accounting,Hospitality,6,This course focuses on developing skills in hospitality and practical training in accounting.,"programming, algorithms, software development",True
Diploma in Journalism,Law,4,This course focuses on developing skills in law and practical training in journalism.,"programming, algorithms, software development",True
Bachelor of Software Development,Arts,2,This course focuses on developing skills in arts and practical training in development.,"clinical practice, patient care",False
Bachelor of Business Administration,Hospitality,5,This course focuses on developing skills in hospitality and practical training in administration.,"creative design, illustration",False
Certificate in Business Administration,Engineering,5,This course focuses on developing skills in engineering and practical training in administration.,"legal analysis, case interpretation",True
Bachelor of Film Production,Design,4,This course focuses on developing skills in design and practical training in production.,"data analysis, statistics",True
Certificate in Graphic Design,Design,5,This course focuses on developing skills in design and practical training in design.,"communication, public speaking",False
Bachelor of Culinary Arts,Arts,2,This course focuses on developing skills in arts and practical training in arts.,"data analysis, statistics",False
Bachelor of Nursing,Arts,2,This course focuses on developing skills in arts and practical training in nursing.,"communication, public speaking",True
Diploma in Human Resource Management,Arts,2,This course focuses on developing skills in arts and practical training in management.,"networking, cybersecurity",True
Diploma in Cybersecurity,Media,4,This course focuses on developing skills in media and practical training in cybersecurity.,"programming, algorithms, software development",False
Bachelor of Film Production,Psychology,2,This course focuses on developing skills in psychology and practical training in production.,"data analysis, statistics",False
Certificate in Accounting,Engineering,5,This course focuses on developing skills in engineering and practical training in accounting.,"creative design, illustration",True
Diploma in Psychology,Media,5,This course focuses on developing skills in media and practical training in psychology.,"programming, algorithms, software development",False
Certificate in Computer Engineering,Engineering,2,This course focuses on developing skills in engineering and practical training in engineering.,"creative design, illustration",True
Certificate in Fine Arts,Design,6,This course focuses on developing skills in design and practical training in arts.,"data analysis, statistics",False
Bachelor of Business Administration,Psychology,3,This course focuses on developing skills in psychology and practical training in administration.,"legal analysis, case interpretation",False
Bachelor of Graphic Design,Design,2,This course focuses on developing skills in design and practical training in design.,"critical thinking, research",True
Bachelor of Nursing,Education,2,This course focuses on developing skills in education and practical training in nursing.,"project management, leadership",False
Diploma in Data Science,Arts,3,This course focuses on developing skills in arts and practical training in science.,"communication, public speaking",False
Diploma in Film Production,Education,6,This course focuses on developing skills in education and practical training in production.,"creative design, illustration",False
Diploma in Marketing,Business,4,This course focuses on developing skills in business and practical training in marketing.,"data analysis, statistics",True
Certificate in Software Development,Education,1,This course focuses on developing skills in education and practical training in development.,"critical thinking, research",True
Diploma in Culinary Arts,Business,3,This course focuses on developing skills in business and practical training in arts.,"communication, public speaking",True
Bachelor of Cybersecurity,Agriculture,4,This course focuses on developing skills in agriculture and practical training in cybersecurity.,"networking, cybersecurity",False
Certificate in Computer Engineering,Law,5,This course focuses on developing skills in law and practical training in engineering.,"critical thinking, research",False
Bachelor of Accounting,Medicine,5,This course focuses on developing skills in medicine and practical training in accounting.,"legal analysis, case interpretation",True
Diploma in Civil Engineering,Computer Science,1,This course focuses on developing skills in computer science and practical training in engineering.,"creative design, illustration",False
Diploma in Civil Engineering,Medicine,6,This course focuses on developing skills in medicine and practical training in engineering.,"programming, algorithms, software development",True
Diploma in Project Management,Arts,5,This course focuses on developing skills in arts and practical training in management.,"critical thinking, research",False
Certificate in Journalism,Medicine,5,This course focuses on developing skills in medicine and practical training in journalism.,"financial analysis, accounting",True
Diploma in Fine Arts,Design,5,This course focuses on developing skills in design and practical training in arts.,"clinical practice, patient care",False
Bachelor of Film Production,Psychology,3,This course focuses on developing skills in psychology and practical training in production.,"clinical practice, patient care",False
Diploma in Animal Health,Engineering,3,This course focuses on developing skills in engineering and practical training in health.,"programming, algorithms, software development",False
Diploma in Psychology,Hospitality,6,This course focuses on developing skills in hospitality and practical training in psychology.,"programming, algorithms, software development",False
Bachelor of Telecommunications,Design,6,This course focuses on developing skills in design and practical training in telecommunications.,"legal analysis, case interpretation",True
Diploma in Journalism,Law,3,This course focuses on developing skills in law and practical training in journalism.,"communication, public speaking",True
Diploma in Fine Arts,Agriculture,3,This course focuses on developing skills in agriculture and practical training in arts.,"clinical practice, patient care",True
Diploma in Human Resource Management,Law,2,This course focuses on developing skills in law and practical training in management.,"networking, cybersecurity",False
Bachelor of Nursing,Media,4,This course focuses on developing skills in media and practical training in nursing.,"communication, public speaking",True
Diploma in Project Management,Hospitality,4,This course focuses on developing skills in hospitality and practical training in management.,"data analysis, statistics",False
Certificate in Telecommunications,Medicine,1,This course focuses on developing skills in medicine and practical training in telecommunications.,"creative design, illustration",False
Diploma in Human Resource Management,Medicine,3,This course focuses on developing skills in medicine and practical training in management.,"clinical practice, patient care",True
Certificate in Psychology,Psychology,1,This course focuses on developing skills in psychology and practical training in psychology.,"programming, algorithms, software development",True
Bachelor of Business Administration,Engineering,1,This course focuses on developing skills in engineering and practical training in administration.,"financial analysis, accounting",False
Bachelor of Data Science,Engineering,3,This course focuses on developing skills in engineering and practical training in science.,"programming, algorithms, software development",False
Diploma in Animal Health,Business,6,This course focuses on developing skills in business and practical training in health.,"financial analysis, accounting",True
Certificate in Film Production,Education,3,This course focuses on developing skills in education and practical training in production.,"clinical practice, patient care",True
Bachelor of Human Resource Management,Media,6,This course focuses on developing skills in media and practical training in management.,"networking, cybersecurity",True
Diploma in Film Production,Education,3,This course focuses on developing skills in education and practical training in production.,"data analysis, statistics",True
Diploma in Nursing,Psychology,6,This course focuses on developing skills in psychology and practical training in nursing.,"networking, cybersecurity",False
Bachelor of Film Production,Agriculture,5,This course focuses on developing skills in agriculture and practical training in production.,"clinical practice, patient care",True
Diploma in Animal Health,Arts,1,This course focuses on developing skills in arts and practical training in health.,"networking, cybersecurity",True
Bachelor of Cybersecurity,Engineering,3,This course focuses on developing skills in engineering and practical training in cybersecurity.,"networking, cybersecurity",True
Diploma in Project Management,Engineering,4,This course focuses on developing skills in engineering and practical training in management.,"clinical practice, patient care",True
Bachelor of Marketing,Media,2,This course focuses on developing skills in media and practical training in marketing.,"financial analysis, accounting",False
Bachelor of Agronomy,Law,4,This course focuses on developing skills in law and practical training in agronomy.,"clinical practice, patient care",True
Bachelor of Telecommunications,Law,3,This course focuses on developing skills in law and practical training in telecommunications.,"clinical practice, patient care",False
Bachelor of Civil Engineering,Design,4,This course focuses on developing skills in design and practical training in engineering.,"creative design, illustration",False
Bachelor of Fine Arts,Agriculture,6,This course focuses on developing skills in agriculture and practical training in arts.,"critical thinking, research",False
Bachelor of Fine Arts,Hospitality,5,This course focuses on developing skills in hospitality and practical training in arts.,"legal analysis, case interpretation",True
Diploma in Computer Engineering,Education,6,This course focuses on developing skills in education and practical training in engineering.,"legal analysis, case interpretation",True
Bachelor of Animal Health,Hospitality,6,This course focuses on developing skills in hospitality and practical training in health.,"data analysis, statistics",False
Bachelor of Data Science,Medicine,1,This course focuses on developing skills in medicine and practical training in science.,"data analysis, statistics",True
Diploma in Business Administration,Law,6,This course focuses on developing skills in law and practical training in administration.,"critical thinking, research",True
Bachelor of Project Management,Engineering,2,This course focuses on developing skills in engineering and practical training in management.,"networking, cybersecurity",False
Bachelor of Graphic Design,Education,6,This course focuses on developing skills in education and practical training in design.,"financial analysis, accounting",False
Diploma in Culinary Arts,Psychology,6,This course focuses on developing skills in psychology and practical training in arts.,"financial analysis, accounting",True
Certificate in Telecommunications,Hospitality,5,This course focuses on developing skills in hospitality and practical training in telecommunications.,"clinical practice, patient care",True
Certificate in Marketing,Medicine,3,This course focuses on developing skills in medicine and practical training in marketing.,"financial analysis, accounting",False
Diploma in Civil Engineering,Computer Science,1,This course focuses on developing skills in computer science and practical training in engineering.,"financial analysis, accounting",True
Certificate in Journalism,Psychology,2,This course focuses on developing skills in psychology and practical training in journalism.,"financial analysis, accounting",True
Bachelor of Human Resource Management,Media,1,This course focuses on developing skills in media and practical training in management.,"creative design, illustration",False
Bachelor of Human Resource Management,Engineering,2,This course focuses on developing skills in engineering and practical training in management.,"project management, leadership",True
Bachelor of Agronomy,Law,3,This course focuses on developing skills in law and practical training in agronomy.,"programming, algorithms, software development",False
Bachelor of Film Production,Medicine,2,This course focuses on developing skills in medicine and practical training in production.,"communication, public speaking",True
Bachelor of Data Science,Education,1,This course focuses on developing skills in education and practical training in science.,"communication, public speaking",False
Bachelor of Nursing,Education,3,This course focuses on developing skills in education and practical training in nursing.,"programming, algorithms, software development",False
Diploma in Graphic Design,Law,2,This course focuses on developing skills in law and practical training in design.,"legal analysis, case interpretation",True
Diploma in Business Administration,Media,3,This course focuses on developing skills in media and practical training in administration.,"critical thinking, research",True
Bachelor of Software Development,Psychology,3,This course focuses on developing skills in psychology and practical training in development.,"critical thinking, research",False
Bachelor of Journalism,Design,3,This course focuses on developing skills in design and practical training in journalism.,"clinical practice, patient care",False
Certificate in Civil Engineering,Engineering,5,This course focuses on developing skills in engineering and practical training in engineering.,"project management, leadership",False
Diploma in Nursing,Business,3,This course focuses on developing skills in business and practical training in nursing.,"programming, algorithms, software development",True
Certificate in Animal Health,Design,1,This course focuses on developing skills in design and practical training in health.,"financial analysis, accounting",True
Bachelor of Data Science,Law,5,This course focuses on developing skills in law and practical training in science.,"creative design, illustration",False
Certificate in Film Production,Computer Science,4,This course focuses on developing skills in computer science and practical training in production.,"critical thinking, research",False
Certificate in Nursing,Psychology,5,This course focuses on developing skills in psychology and practical training in nursing.,"financial analysis, accounting",True
Certificate in Graphic Design,Psychology,3,This course focuses on developing skills in psychology and practical training in design.,"programming, algorithms, software development",True
Certificate in Accounting,Law,5,This course focuses on developing skills in law and practical training in accounting.,"creative design, illustration",True
Diploma in Civil Engineering,Agriculture,2,This course focuses on developing skills in agriculture and practical training in engineering.,"legal analysis, case interpretation",False
Bachelor of Journalism,Engineering,1,This course focuses on developing skills in engineering and practical training in journalism.,"communication, public speaking",False
Bachelor of Business Administration,Arts,3,This course focuses on developing skills in arts and practical training in administration.,"financial analysis, accounting",True
Certificate in Data Science,Business,1,This course focuses on developing skills in business and practical training in science.,"legal analysis, case interpretation",False
Bachelor of Marketing,Education,4,This course focuses on developing skills in education and practical training in marketing.,"creative design, illustration",True
Bachelor of Computer Engineering,Computer Science,1,This course focuses on developing skills in computer science and practical training in engineering.,"legal analysis, case interpretation",False
Certificate in Computer Engineering,Arts,5,This course focuses on developing skills in arts and practical training in engineering.,"project management, leadership",True
Bachelor of Accounting,Agriculture,5,This course focuses on developing skills in agriculture and practical training in accounting.,"clinical practice, patient care",False
Diploma in Data Science,Media,4,This course focuses on developing skills in media and practical training in science.,"project management, leadership",False
Certificate in Cybersecurity,Computer Science,4,This course focuses on developing skills in computer science and practical training in cybersecurity.,"communication, public speaking",True
Diploma in Culinary Arts,Arts,5,This course focuses on developing skills in arts and practical training in arts.,"creative design, illustration",True
Diploma in Civil Engineering,Law,4,This course focuses on developing skills in law and practical training in engineering.,"clinical practice, patient care",False
Diploma in Project Management,Psychology,5,This course focuses on developing skills in psychology and practical training in management.,"critical thinking, research",False
Bachelor of Graphic Design,Law,4,This course focuses on developing skills in law and practical training in design.,"project management, leadership",False
Bachelor of Civil Engineering,Arts,4,This course focuses on developing skills in arts and practical training in engineering.,"clinical practice, patient care",False
Diploma in Agronomy,Computer Science,5,This course focuses on developing skills in computer science and practical training in agronomy.,"financial analysis, accounting",False
Diploma in Film Production,Hospitality,5,This course focuses on developing skills in hospitality and practical training in production.,"legal analysis, case interpretation",True
Bachelor of Data Science,Law,4,This course focuses on developing skills in law and practical training in science.,"clinical practice, patient care",True
Diploma in Cybersecurity,Business,5,This course focuses on developing skills in business and practical training in cybersecurity.,"programming, algorithms, software development",True
Diploma in Film Production,Medicine,4,This course focuses on developing skills in medicine and practical training in production.,"networking, cybersecurity",False
Diploma in Civil Engineering,Engineering,5,This course focuses on developing skills in engineering and practical training in engineering.,"project management, leadership",False
Bachelor of Culinary Arts,Medicine,4,This course focuses on developing skills in medicine and practical training in arts.,"networking, cybersecurity",False
Bachelor of Civil Engineering,Agriculture,4,This course focuses on developing skills in agriculture and practical training in engineering.,"programming, algorithms, software development",True
Bachelor of Software Development,Medicine,5,This course focuses on developing skills in medicine and practical training in development.,"data analysis, statistics",True
Diploma in Cybersecurity,Business,1,This course focuses on developing skills in business and practical training in cybersecurity.,"data analysis, statistics",True
